IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Zip_key,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc,Share_Camp,Share_Other,Share_PL,Share_prog
240315,48439,Tarrant County,Texas,SOUTH,7,76053 Hurst,76053,0.26,0.15,0.13,0.84,0.05,2.54,0.16,0.17,42525,19415,0.603784951,0.029332955,0.136179984,0.23070211
240337,39035,Cuyahoga County,Ohio,MIDWEST,3,44145 Westlake,44145,0.23,0.12,0.18,0.93,0.01,2.38,0.38,0.1,65106,37044,0.535376074,0.072722305,0.123372028,0.268529593
240394,25005,Bristol County,Massachusetts,EAST,1,02747 North Dartmouth,2747,0.2,0.1,0.12,0.88,0.01,2.72,0.22,0.16,52363,21229,0.361901295,0.112668706,0.164196912,0.361233087
240464,25027,Worcester County,Massachusetts,EAST,1,01366 Petersham,1366,0.22,0.11,0.18,0.97,0.01,2.49,0.39,0.16,47917,24100,0.505530089,0.115730102,0.161857673,0.216882136
240519,44007,Providence County,Rhode Island,EAST,1,02895 Woonsocket,2895,0.26,0.15,0.15,0.83,0.04,2.37,0.08,0.34,30819,16223,0.369318837,0.099029675,0.124777532,0.406873955
240594,48121,Denton County,Texas,SOUTH,7,76207 Denton,76207,0.26,0.16,0.06,0.83,0.07,2.47,0.4,0.13,47014,23610,0.518087227,0.051377171,0.356171631,0.074363972
240668,17167,Sangamon County,Illinois,MIDWEST,3,62703 Springfield,62703,0.27,0.16,0.14,0.64,0.33,2.36,0.16,0.31,31844,16363,0.594309515,0.066211948,0.285999988,0.053478549
240692,19099,Jasper County,Iowa,MIDWEST,4,50208 Newton,50208,0.23,0.13,0.17,0.97,0.01,2.32,0.17,0.21,40945,19963,0.606872355,0.045559352,0.27741404,0.070154253
240713,17113,McLean County,Illinois,MIDWEST,3,61701 Bloomington,61701,0.22,0.13,0.13,0.85,0.1,2.15,0.29,0.26,37783,21277,0.542642547,0.047111416,0.32570517,0.084540868
240742,17113,McLean County,Illinois,MIDWEST,3,61761 Normal,61761,0.17,0.1,0.08,0.88,0.08,2.43,0.38,0.24,40313,17749,0.649982168,0.119244176,0.024437532,0.206336124
241041,37183,Wake County,North Carolina,SOUTH,5,27603 Raleigh,27603,0.24,0.14,0.07,0.7,0.21,2.46,0.27,0.2,41979,21307,0.633574095,0.018107681,0.262496035,0.085822189
241050,1081,Lee County,Alabama,SOUTH,6,36801 Opelika,36801,0.27,0.15,0.13,0.55,0.43,2.45,0.2,0.34,32175,17460,0.557229125,0.02874546,0.322616862,0.091408553
241158,53033,King County,Washington,WEST,9,98022 Enumclaw,98022,0.29,0.14,0.12,0.94,0,2.69,0.16,0.16,54118,22553,0.51173833,0.049950289,0.260097326,0.178214055
241220,6071,San Bernardino County,California,WEST,9,92404 San Bernardino,92404,0.34,0.2,0.11,0.54,0.16,2.99,0.12,0.32,31162,13954,0.607191532,0.062258418,0.197879438,0.132670612
241243,6059,Orange County,California,WEST,9,92706 Santa Ana,92706,0.34,0.21,0.08,0.49,0.02,3.92,0.15,0.16,45435,15258,0.489145887,0.184562345,0.111724239,0.214567529
241260,36047,Kings County,New York,EAST,2,11210 Brooklyn,11210,0.3,0.17,0.09,0.33,0.58,3.11,0.25,0.23,42967,19357,0.263848032,0.061364548,0.14851398,0.52627344
241370,51121,Montgomery County,Virginia,SOUTH,5,24073 Christiansburg,24073,0.24,0.14,0.12,0.94,0.04,2.42,0.21,0.22,39777,18856,0.663164495,0.020054742,0.196367266,0.120413498
241418,1073,Jefferson County,Alabama,SOUTH,6,35210 Birmingham,35210,0.21,0.11,0.19,0.74,0.23,2.33,0.25,0.21,42662,22257,0.742106436,0.146528381,0.065584838,0.045780346
241514,6067,Sacramento County,California,WEST,9,95833 Sacramento,95833,0.28,0.16,0.06,0.52,0.14,2.58,0.24,0.17,44674,19974,0.485848724,0.107697656,0.047841269,0.358612351
241516,26081,Kent County,Michigan,MIDWEST,3,49508 Grand Rapids,49508,0.28,0.15,0.11,0.77,0.13,2.58,0.26,0.16,47495,21677,0.568904608,0.041770944,0.226651084,0.162673364
241553,51700,Newport News city,Virginia,SOUTH,5,23608 Newport News,23608,0.31,0.17,0.06,0.52,0.38,2.73,0.19,0.17,41591,17111,0.638689661,0.02862944,0.211977977,0.120702923
241565,29189,St. Louis County,Missouri,MIDWEST,4,63021 Ballwin,63021,0.29,0.16,0.07,0.92,0.02,2.71,0.46,0.08,66638,29287,0.485547494,0.137744933,0.29035221,0.086355364
241567,37097,Iredell County,North Carolina,SOUTH,5,28625 Statesville,28625,0.25,0.14,0.13,0.84,0.11,2.58,0.15,0.2,42484,19961,0.576891942,0.064619609,0.093001223,0.265487226
241568,1003,Baldwin County,Alabama,SOUTH,6,36542 Gulf Shores,36542,0.17,0.08,0.21,0.97,0,2.15,0.24,0.23,39604,23312,0.628094161,0.049407471,0.087809341,0.234689027
